Čtvrť	N
pro	R
diplomaty	N

Výstavbu	N
diplomatické	A
čtvrti	N
v	R
hlavním	A
městě	N
se	R
zhruba	D
400	C
rodinnými	A
domy	N
pro	R
ubytování	N
pracovníků	N
zastupitelských	A
úřadů	N
,	Z
a	J
zejména	D
zaměstnanců	N
rádia	N
Svobodná	A
Evropa	N
připravuje	V
pražská	A
radnice	N
.	Z

Podle	R
slov	N
pražského	A
primátora	N
Jana	N
Koukala	N
by	V
tato	P
čtvrť	N
měla	V
vzniknout	V
během	R
roku	N
a	J
půl	C
.	Z

Radnice	N
hledá	V
vhodné	A
místo	N
s	R
ohledem	N
na	R
bezpečnost	N
.	Z

Podle	R
předběžných	A
ujednání	N
by	V
hlavní	A
město	N
poskytlo	V
na	R
vybudování	N
čtvrti	N
svůj	P
pozemek	N
a	J
česká	A
vláda	N
by	V
zajistila	V
půjčku	N
na	R
financování	N
stavebních	A
prací	N
.	Z

Americká	A
strana	N
má	V
po	R
dokončení	N
projektu	N
splatit	V
výstavbu	N
týkající	A
se	P
Svobodné	A
Evropy	N
.	Z

Mladí	A
lidé	N
nechodí	V
do	R
divadel	N
často	D

Praha	N
-	Z

Návštěvy	N
kin	N
a	J
divadel	N
patří	V
mezi	R
méně	D
časté	A
aktivity	N
mladých	A
lidí	N
v	R
České	A
republice	N
.	Z

Vyplynulo	V
to	P
z	R
únorového	A
a	J
květnového	A
výzkumu	N
Institutu	N
dětí	N
a	J
mládeže	N
ministerstva	N
školství	N
,	Z
mládeže	N
a	J
tělovýchovy	N
,	Z
který	P
pracoval	V
s	R
758	C
respondenty	N
ve	R
věku	N
15	C
až	J
29	C
let	N
.	Z

Do	R
divadla	N
vůbec	D
nechodí	V
46	C
procent	N
mladých	A
lidí	N
,	Z
do	R
kina	N
12	C
procent	N
.	Z

Oproti	R
tomu	P
alespoň	D
jednou	C
týdně	D
navštíví	V
divadlo	N
1	C
procento	N
populace	N
v	R
tomto	P
věku	N
,	Z
do	R
kina	N
se	P
takto	D
často	D
vypraví	V
17	C
mladých	A
ze	R
sta	N
.	Z

tipy	N
Dnes	D

Ruby	N
-	Z

Americké	A
filmové	A
drama	N
režiséra	N
Johna	N
Mackenzieho	N
,	Z
po	R
Stoneově	A
paradokumentární	A
rekonstrukci	N
jménem	N
JFK	N
další	A
fikci	N
o	R
možném	A
pozadí	N
atentátu	N
na	R
J	N
.	Z
F	N
.	Z
Kennedyho	N
,	Z
uvádí	V
od	R
včerejška	N
pražské	A
kino	N
Kotva	N
.	Z

Klaus	N
