sequential,linear_probing,multiply_shift

m	min	max	avg	median	decile
10      1.0     922.5   8.86309670128   3.7     12.75
11      1.0     1844.0  9.56236973236   3.70731707317   12.5853658537
12      1.0     3687.5  10.6254612834   3.71951219512   12.756097561
13      1.0     7055.69512195   11.0220203955   3.70731707317   12.7597560976
14      1.0     13982.5213415   12.6632411632   3.6737804878    12.4146341463
15      1.0     7144.61221374   11.6857240249   3.75267175573   13.2580152672
16      1.0     12242.2442748   15.7783236801   3.69007633588   12.4705343511
17      1.0     6024.86379245   11.8936114874   3.69362838611   12.6869133918
18      1.0     3741.79324814   12.379338388    3.73259584208   12.5201220675
19      1.0     989.816898722   9.74649621639   3.68462712188   12.4171752813
20      1.0     455.242990654   9.79162176482   3.74465954606   13.0119683387
21      1.0     412.872112152   7.96440373401   3.73531936199   9.71465560403
22      1.0     59.5722051355   6.30992263563   3.76950861884   10.5230074148
23      1.0     144.835759245   9.22569093602   3.93750447035   14.1785518442
24      1.0     48.1723410343   6.79138693849   4.20704438166   11.6939507188
25      1.0     7.90202640782   3.62086043894   3.06639953866   6.16919320686
26      1.12499981374   20.4627627632   7.77040667399   4.90624864958   19.6502034752
27      2.31250076834   4.62499855645   3.89705743093   4.29778922683   4.58749889638
28      3.81249998836   7.24999995343   5.85416667831   6.50000009313   7.09999998137

