sequential,linear_probing,tabulation

m	min	max	avg	median	decile
10	12.75	174.05	46.49375	35.125	84.09
11	16.756097561	239.12195122	49.9152057927	40.012195122	80.6585365854
12	24.5487804878	138.975609756	54.6070884146	48.9817073171	87.1695121951
13	25.237804878	160.359756098	50.1945026677	46.5670731707	76.1359756098
14	28.3658536585	105.43902439	49.8429401677	47.7164634146	66.6234756098
15	31.8152671756	92.7938931298	50.020014313	48.586259542	63.6409160305
16	39.972519084	72.4251908397	50.5619215172	49.4778625954	58.3135114504
17	37.5024799695	76.0892789012	51.3369449876	50.0827928272	61.2175123998
18	40.6706084303	69.867823765	51.4438328486	51.4523173755	56.986973107
19	44.2358382605	62.2453747854	51.1045083921	51.0470627503	55.6085161167
