Simple Test
n,simple_total,simple
64,0.000030,1.4881e-08
70,0.000023,9.52381e-09
75,0.000027,9.72973e-09
81,0.000032,9.87654e-09
88,0.000037,9.66562e-09
95,0.000043,9.63046e-09
102,0.000051,9.90099e-09
110,0.000058,9.67473e-09
119,0.000086,1.2249e-08
128,0.000079,9.71949e-09
139,0.000140,1.4597e-08
150,0.000143,1.27964e-08
162,0.000154,1.18089e-08
175,0.000176,1.15599e-08
189,0.000225,1.26646e-08
204,0.000236,1.13977e-08
220,0.000278,1.15401e-08
238,0.000332,1.17718e-08
256,0.000388,1.18873e-08
277,0.000443,1.1589e-08
299,0.000488,1.09537e-08
323,0.000407,7.82647e-09
349,0.000520,8.56305e-09
377,0.000549,7.74592e-09
407,0.000648,7.84304e-09
439,0.001179,1.22632e-08
475,0.000968,8.59871e-09
512,0.001197,9.15026e-09
553,0.001198,7.84915e-09
598,0.001473,8.25196e-09
646,0.001747,8.38553e-09
697,0.002061,8.49701e-09
753,0.002452,8.66039e-09
813,0.002883,8.7343e-09
878,0.003364,8.73759e-09
949,0.003895,8.6589e-09
1024,0.009548,1.82292e-08
1106,0.005898,9.652e-09
1195,0.007023,9.8442e-09
1291,0.008620,1.03519e-08
1394,0.010108,1.04107e-08
1506,0.011317,9.98619e-09
1626,0.014125,1.06916e-08
1756,0.016065,1.04258e-08
1897,0.018419,1.02421e-08
2048,0.061880,2.95211e-08
2212,0.025361,1.0371e-08
2390,0.030437,1.06615e-08
2581,0.033993,1.02097e-08
2787,0.040949,1.05476e-08
3011,0.048201,1.06367e-08
3251,0.057800,1.0941e-08
3512,0.064104,1.03975e-08
3793,0.076620,1.06542e-08
4096,0.319515,3.80985e-08
4424,0.103417,1.05704e-08
4779,0.122529,1.07321e-08
5161,0.143901,1.08071e-08
5574,0.178754,1.15088e-08
6021,0.225255,1.24291e-08
6502,0.238851,1.13013e-08
7023,0.273860,1.11064e-08
7585,0.323659,1.12529e-08
8192,1.383585,4.12391e-08
8848,0.453254,1.15806e-08
9557,0.499603,1.0941e-08
10322,0.696469,1.30751e-08
11148,0.711710,1.14546e-08
12041,0.813952,1.1229e-08
13004,0.970969,1.14846e-08
14046,1.154090,1.17003e-08
15170,1.384195,1.20305e-08
16384,5.616495,4.18487e-08
17696,1.930882,1.23328e-08
19113,2.188322,1.19814e-08
20643,2.582832,1.21228e-08
22296,3.270652,1.31592e-08
24081,3.713926,1.28095e-08
26008,5.126678,1.51589e-08
28091,5.367426,1.36043e-08
30340,6.853377,1.48908e-08
32768,23.247122,4.33025e-08
35392,17.455218,2.78713e-08
38225,10.709845,1.46599e-08
41286,17.050058,2.0006e-08
44591,15.101128,1.51899e-08
48161,29.483093,2.54227e-08
52016,23.690180,1.75119e-08
56181,38.895556,2.46467e-08
60679,41.110785,2.23314e-08

Recursive Test
n,recursive_total,recursive
64,0.000017,8.43254e-09
70,0.000020,8.28157e-09
75,0.000027,9.72973e-09
81,0.000026,8.02469e-09
88,0.000031,8.09822e-09
95,0.000052,1.16461e-08
102,0.000041,7.95962e-09
110,0.000047,7.83987e-09
119,0.000086,1.2249e-08
128,0.000096,1.1811e-08
139,0.000118,1.23032e-08
150,0.000091,8.14318e-09
162,0.000163,1.2499e-08
175,0.000124,8.1445e-09
189,0.000143,8.04908e-09
204,0.000199,9.61074e-09
220,0.000297,1.23288e-08
238,0.000332,1.17718e-08
256,0.000320,9.80392e-09
277,0.000325,8.50207e-09
299,0.000522,1.17169e-08
323,0.000513,9.86482e-09
349,0.000510,8.39838e-09
377,0.000622,8.77589e-09
407,0.000823,9.96115e-09
439,0.000862,8.966e-09
475,0.000931,8.27004e-09
512,0.001095,8.37054e-09
553,0.001306,8.55675e-09
598,0.001508,8.44804e-09
646,0.001743,8.36633e-09
697,0.002058,8.48464e-09
753,0.002368,8.36371e-09
813,0.002792,8.45861e-09
878,0.003237,8.40773e-09
949,0.003877,8.61889e-09
1024,0.004479,8.55137e-09
1106,0.005948,9.73383e-09
1195,0.007238,1.01456e-08
1291,0.008452,1.01502e-08
1394,0.009530,9.81542e-09
1506,0.011099,9.79383e-09
1626,0.012930,9.78711e-09
1756,0.014816,9.61522e-09
1897,0.017834,9.91684e-09
2048,0.021539,1.02756e-08
2212,0.028064,1.14764e-08
2390,0.026728,9.3623e-09
2581,0.033551,1.00769e-08
2787,0.039591,1.01978e-08
3011,0.044901,9.90852e-09
3251,0.053333,1.00954e-08
3512,0.059942,9.72245e-09
3793,0.071159,9.89484e-09
4096,0.092130,1.09854e-08
4424,0.100525,1.02748e-08
4779,0.106020,9.28613e-09
5161,0.130500,9.8007e-09
5574,0.156302,1.00633e-08
6021,0.184652,1.01887e-08
6502,0.211701,1.00167e-08
7023,0.233071,9.45224e-09
7585,0.291589,1.01379e-08
8192,0.366588,1.09265e-08
8848,0.384596,9.82638e-09
9557,0.438365,9.59993e-09
10322,0.546592,1.02614e-08
11148,0.626748,1.00871e-08
12041,0.734814,1.01372e-08
13004,0.899066,1.06341e-08
14046,0.991263,1.00495e-08
15170,1.114949,9.69042e-09
16384,1.649620,1.22914e-08
17696,1.569392,1.00239e-08
19113,1.886912,1.03311e-08
20643,2.170364,1.01868e-08
22296,2.519971,1.01389e-08
24081,2.933785,1.01188e-08
26008,3.579413,1.05839e-08
28091,4.060805,1.02926e-08
30340,4.723627,1.02633e-08
32768,6.494870,1.2098e-08
35392,6.179326,9.86673e-09
38225,7.393951,1.0121e-08
41286,8.703868,1.02129e-08
44591,9.970949,1.00296e-08
