class 1,class 2,cluster id,mutual_information_loss
listopadu,OKD,3685,-0.00308288427059993
které,který,3686,-0.003373431642166936
J,státu,3687,-0.004024966367527461
bude,musí,3688,-0.004421600166048227
ale,aby,3689,-0.004603782679326722
mezi,už,3690,-0.005000000000000002
budou,pouze,3691,-0.005469908969115842
zákona,jeho,3692,-0.005578077886103698
byl,si,3693,-0.005792098921925309
NATO,&slash;,3694,-0.006073205570093951
jako,?,3695,-0.006242784599970054
Na,3685,3696,-0.006391442323723689
nás,3687,3697,-0.006938153893261489
při,jsou,3698,-0.006944884876539995
bylo,3695,3699,-0.007207944037187547
ze,před,3700,-0.007369597046181953
být,3691,3701,-0.007575940630949511
ČSFR,3697,3702,-0.00895688439624169
včera,3693,3703,-0.008993530122701043
od,za,3704,-0.00910472245619355
však,3704,3705,-0.00870098977555079
V,3696,3706,-0.010793171166410091
po,3700,3707,-0.011688954831178412
u,3705,3708,-0.012086943055328248
to,3692,3709,-0.013305149259865666
pro,3698,3710,-0.013373471458936229
3688,3699,3711,-0.013848016750212105
),3694,3712,-0.015573299689625415
3690,3710,3713,-0.015903913577126824
že,3686,3714,-0.017158630308456612
3689,3714,3715,-0.011571647835870355
ve,3707,3716,-0.01772811240427412
k,3709,3717,-0.018400006439929586
:,3701,3718,-0.021683898382326497
i,3718,3719,-0.022145701120361065
do,3711,3720,-0.02276057786768154
by,3716,3721,-0.023199776650959316
(,3703,3722,-0.026024172398804685
je,3722,3723,-0.02606726056803416
z,3708,3724,-0.027212906505307846
3702,3717,3725,-0.03015935470360448
s,3706,3726,-0.032035859992561505
"""",3726,3727,-0.03575199318230129
3712,3725,3728,-0.03744650717137358
3713,3720,3729,-0.038011610906036865
o,3721,3730,-0.04892234512530112
-,3729,3731,-0.04937140385539877
na,3724,3732,-0.05356220398904443
3715,3723,3733,-0.05612676882018109
3719,3727,3734,-0.06171385857976962
se,3733,3735,-0.06494997924808622
a,3728,3736,-0.0803324661982777
v,3730,3737,-0.08213875638759266
3731,3732,3738,-0.09813110563773952
3734,3736,3739,-0.12832932757654342
3735,3737,3740,-0.1402561146415043
.,3738,3741,-0.19678659255978356
",",3740,3742,-0.19469643231665937
3739,3741,3743,-0.2560330321924002
3742,3743,3744,-0.4478072031188268
